Date,Open,High,Low,Close,Volume,Adj Close
1997-09-04,46.06,46.56,44.83,45.08,1496800,10.50
1997-09-03,44.46,46.86,44.46,46.68,2364000,10.87
1997-09-02,43.35,44.95,43.35,44.95,877600,10.47
1997-08-29,42.37,43.54,42.37,43.11,769600,10.04
1997-08-28,43.23,43.35,42.55,42.61,936400,9.92
1997-08-27,43.29,43.66,42.74,42.98,662400,10.01
1997-08-26,43.66,43.78,42.98,43.29,848800,10.08
1997-08-25,43.72,44.58,43.60,43.91,779200,10.23
1997-08-22,43.60,43.72,42.86,43.48,846400,10.13
1997-08-21,44.77,45.14,44.03,44.40,715200,10.34
1997-08-20,45.08,45.32,44.83,45.26,790400,10.54
1997-08-19,43.35,45.57,43.29,44.83,1765600,10.44
1997-08-18,42.49,43.23,42.00,43.11,1769600,10.04
1997-08-15,43.78,43.78,41.51,42.00,1370400,9.78
1997-08-14,44.03,44.34,43.54,43.54,881600,10.14
1997-08-13,44.71,45.08,43.78,43.78,1256800,10.20
1997-08-12,45.51,45.69,44.34,44.46,900000,10.34
1997-08-11,46.25,46.25,43.85,45.02,1849600,10.47
1997-08-08,45.51,46.68,44.77,45.33,2264000,10.54
1997-08-07,47.97,48.34,47.05,47.11,1103200,10.96
1997-08-06,48.34,48.65,47.54,47.85,1390400,11.13
1997-08-05,47.72,48.40,47.05,47.97,1305600,11.16
1997-08-04,48.22,48.71,47.23,47.54,1444000,11.06
1997-08-01,49.14,49.51,48.46,49.32,1862000,11.47
1997-07-31,49.02,49.88,48.40,49.08,1959600,11.41
1997-07-30,48.83,50.12,48.52,49.02,2347600,11.40
1997-07-29,47.60,49.69,46.99,49.45,2453600,11.50
1997-07-28,48.83,48.83,47.42,47.72,1871600,11.10
1997-07-25,47.72,49.51,47.48,49.02,4792400,11.40
1997-07-24,46.25,47.97,45.88,47.17,6002800,10.97
1997-07-23,44.96,52.40,44.71,51.17,6016800,11.90
1997-07-22,44.16,44.53,43.85,44.46,1600800,10.34
1997-07-21,44.34,45.02,43.66,43.91,1586800,10.21
1997-07-18,44.71,44.96,43.85,44.28,2302000,10.30
1997-07-17,43.30,46.00,43.17,44.77,3046800,10.41
1997-07-16,43.23,43.66,42.80,43.05,1419200,10.01
1997-07-15,42.07,43.17,42.00,43.17,1705200,10.04
1997-07-14,42.31,42.68,41.82,41.94,1642400,9.76
1997-07-11,42.19,42.74,42.07,42.31,777200,9.84
1997-07-10,41.70,42.31,41.70,41.82,728000,9.73
1997-07-09,42.56,43.11,41.82,41.88,1438400,9.74
1997-07-08,42.37,43.30,42.25,42.80,1328800,9.96
1997-07-07,42.07,42.50,41.45,42.31,1479200,9.84
1997-07-03,42.19,42.43,41.88,42.07,779200,9.78
1997-07-02,42.13,42.31,41.20,42.13,1423200,9.80
1997-07-01,40.10,42.13,39.97,42.13,1944000,9.80
1997-06-30,41.94,42.07,39.85,39.85,1711200,9.27
1997-06-27,43.05,43.36,41.33,41.57,2425600,9.67
1997-06-26,42.80,43.17,41.33,42.80,2600800,9.96
1997-06-25,41.94,43.54,41.33,42.07,2284000,9.78
1997-06-24,40.22,42.19,39.61,41.94,2291200,9.76
1997-06-23,40.47,40.47,39.73,39.73,1138800,9.24
1997-06-20,40.84,41.20,40.34,40.47,1160800,9.41
1997-06-19,41.33,41.45,40.34,40.47,969600,9.41
1997-06-18,40.59,41.70,39.97,41.45,1567200,9.64
1997-06-17,40.10,40.84,39.61,40.59,1620800,9.44
1997-06-16,39.73,39.73,39.24,39.36,622800,9.15
1997-06-13,39.85,40.22,39.36,39.97,1754000,9.30
1997-06-12,39.36,40.22,38.87,39.61,2089600,9.21
1997-06-11,39.36,39.61,38.99,39.24,1380800,9.13
1997-06-10,38.87,39.73,38.87,39.61,2269600,9.21
1997-06-09,38.74,39.11,38.01,39.11,1368800,9.10
1997-06-06,38.87,39.24,38.50,38.50,1378800,8.95
1997-06-05,37.51,38.99,37.39,38.62,1956400,8.98
1997-06-04,38.13,38.25,37.02,37.15,1218400,8.64
1997-06-03,38.13,38.74,37.88,38.25,1055200,8.90
1997-06-02,39.36,39.97,38.38,38.62,2049600,8.98
1997-05-30,37.51,40.34,37.39,40.34,3170800,9.38
1997-05-29,37.64,38.50,37.27,38.25,2196800,8.90
1997-05-28,37.76,37.76,37.39,37.64,983200,8.75
1997-05-27,37.64,38.01,37.15,37.64,997200,8.75
1997-05-23,37.27,38.25,37.15,38.01,1387200,8.84
1997-05-22,37.39,37.51,36.90,37.15,1193200,8.64
1997-05-21,38.13,38.25,37.02,37.15,1344800,8.64
1997-05-20,36.90,37.76,36.41,37.76,1533600,8.78
1997-05-19,37.15,37.27,36.53,36.90,1027200,8.58
1997-05-16,38.25,38.25,37.27,37.64,1284800,8.75
1997-05-15,38.38,38.50,37.76,38.13,3155200,8.87
1997-05-14,36.65,37.76,36.28,37.64,2171200,8.75
1997-05-13,35.73,37.58,35.12,36.10,3926400,8.38
1997-05-12,37.94,37.94,35.86,36.10,3930400,8.38
1997-05-09,38.07,39.17,37.82,38.44,5940400,8.92
1997-05-08,36.59,38.19,35.98,37.45,8966800,8.70
1997-05-07,33.52,41.26,33.16,37.33,15228400,8.67
1997-05-06,33.65,33.65,33.28,33.52,1305600,7.78
1997-05-05,33.65,33.77,33.28,33.77,959200,7.84
1997-05-02,33.03,33.77,32.91,33.65,1558400,7.81
1997-05-01,33.16,33.52,32.66,32.91,911600,7.64
1997-04-30,33.03,33.40,33.03,33.40,733600,7.76
1997-04-29,33.40,33.52,33.03,33.28,1074000,7.73
1997-04-28,31.93,32.42,31.80,32.42,677600,7.53
1997-04-25,32.17,32.42,31.68,31.93,439600,7.41
1997-04-24,32.54,32.79,31.93,32.17,604400,7.47
1997-04-23,32.17,32.54,32.05,32.42,374800,7.53
1997-04-22,32.42,32.54,31.93,31.93,490400,7.41
1997-04-21,33.40,33.40,32.42,32.54,813600,7.56
1997-04-18,33.40,33.52,32.91,33.28,2035200,7.73
1997-04-17,30.95,32.17,30.95,32.17,697200,7.47
1997-04-16,31.80,31.80,31.07,31.31,435600,7.27
1997-04-15,32.17,32.17,31.68,31.93,793600,7.41
1997-04-14,31.44,31.56,30.70,31.44,603600,7.30
1997-04-11,31.44,31.68,30.95,31.19,692800,7.24
1997-04-10,32.66,32.91,31.80,31.80,646400,7.38
1997-04-09,32.91,33.28,32.42,32.66,1225200,7.58
1997-04-08,33.89,34.02,32.42,32.79,1203200,7.61
1997-04-07,31.80,33.52,31.80,32.91,2552800,7.64
1997-04-04,28.24,30.21,28.00,29.96,1394400,6.96
1997-04-03,28.49,28.98,28.37,28.49,1064000,6.62
1997-04-02,29.23,29.23,28.49,28.61,661600,6.64
1997-04-01,28.49,29.35,28.24,28.98,1433600,6.73
1997-03-31,30.33,30.33,28.61,28.73,756800,6.67
1997-03-27,30.95,30.95,29.96,30.09,473600,6.99
1997-03-26,30.95,31.07,30.58,30.95,695200,7.19
1997-03-25,31.19,31.44,30.70,30.82,836000,7.16
1997-03-24,31.44,31.56,30.82,31.07,1888400,7.21
1997-03-21,30.45,30.45,29.96,30.33,642400,7.04
1997-03-20,29.72,30.33,29.47,30.33,586800,7.04
1997-03-19,30.45,30.45,29.23,29.84,869600,6.93
1997-03-18,30.82,31.07,30.09,30.21,472800,7.01
1997-03-17,30.70,31.19,30.21,30.70,550800,7.13
1997-03-14,31.44,31.80,30.70,30.95,785600,7.19
1997-03-13,32.54,32.54,31.31,31.31,603200,7.27
1997-03-12,33.65,33.77,32.79,32.79,626400,7.61
1997-03-11,33.40,34.14,33.16,33.89,1262000,7.87
1997-03-10,33.16,33.28,32.79,33.28,1053200,7.73
1997-03-07,32.91,33.28,32.66,32.91,1018400,7.64
1997-03-06,32.79,33.03,32.54,32.66,1064800,7.58
1997-03-05,32.66,32.91,32.17,32.79,955200,7.61
1997-03-04,33.16,33.28,32.54,32.54,550400,7.56
1997-03-03,32.91,33.65,32.79,33.16,499200,7.70
1997-02-28,32.91,33.28,32.54,33.03,462400,7.67
1997-02-27,34.14,34.26,32.91,33.03,383600,7.67
1997-02-26,35.00,35.00,33.89,34.14,712000,7.93
1997-02-25,33.77,35.12,33.65,35.12,679200,8.15
1997-02-24,33.89,34.02,33.16,33.52,523200,7.78
1997-02-21,34.26,34.38,33.65,34.14,771600,7.93
1997-02-20,35.37,35.37,34.51,34.63,1780800,8.04
1997-02-19,35.12,36.35,34.87,35.73,2100400,8.30
1997-02-18,33.77,35.61,33.77,35.37,1170000,8.21
1997-02-14,34.02,34.38,33.77,34.02,554400,7.90
1997-02-13,33.77,34.02,33.52,33.77,1050800,7.84
1997-02-12,33.65,34.02,33.16,33.77,1408800,7.84
1997-02-11,32.30,33.03,32.17,32.91,1206400,7.64
1997-02-10,32.54,32.66,32.05,32.17,912800,7.47
1997-02-07,32.05,32.30,31.56,31.68,594400,7.36
